"","Year","Product.line","Product.type","Product","Order.method.type","Retailer.country","Revenue","Planned.revenue","Product.cost","Quantity","Unit.cost","Unit.price","Gross.profit","Unit.sale.price"
"27129",2005,"Camping Equipment","Lanterns","Flicker Lantern","Special","Switzerland",2144.52,2210.67,984.06,63,15.62,35.09,1160.46,34.04
"27133",2005,"Camping Equipment","Lanterns","Flicker Lantern","Mail","United States",16100.92,16597.57,7388.26,473,15.62,35.09,8712.66,34.04
"27134",2005,"Camping Equipment","Lanterns","Flicker Lantern","Mail","Canada",6808,7018,3124,200,15.62,35.09,3684,34.04
"27137",2005,"Camping Equipment","Lanterns","Flicker Lantern","Mail","Japan",5718.72,5895.12,2624.16,168,15.62,35.09,3094.56,34.04
"27141",2005,"Camping Equipment","Lanterns","Flicker Lantern","Mail","Australia",3778.44,3894.99,1733.82,111,15.62,35.09,2044.62,34.04
"27155",2005,"Camping Equipment","Lanterns","Flicker Lantern","E-mail","Canada",14875.48,15334.33,6825.94,437,15.62,35.09,8049.54,34.04
"27158",2005,"Camping Equipment","Lanterns","Flicker Lantern","E-mail","Japan",29138.24,30037.04,13370.72,856,15.62,35.09,15767.52,34.04
"27164",2005,"Camping Equipment","Lanterns","Flicker Lantern","E-mail","Sweden",13682.59,14071.09,6263.62,401,15.62,35.09,7418.97,34.15666667
"27168",2005,"Camping Equipment","Lanterns","Flicker Lantern","E-mail","Germany",16339.2,16843.2,7497.6,480,15.62,35.09,8841.6,34.04
"27173",2005,"Camping Equipment","Lanterns","Flicker Lantern","E-mail","Italy",12179.58,12527.13,5576.34,357,15.62,35.09,6603.24,34.39
"27175",2005,"Camping Equipment","Lanterns","Flicker Lantern","Fax","United States",5991.04,6175.84,2749.12,176,15.62,35.09,3241.92,34.04
"27188",2005,"Camping Equipment","Lanterns","Flicker Lantern","Fax","France",23930.12,24668.27,10980.86,703,15.62,35.09,12949.26,34.04
"27196",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","United States",224981.5,231544.56,142110,4737,30,48.88,82871.5,47.52466667
"27200",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","Japan",4883.23,5034.64,3090,103,30,48.88,1793.23,47.41
"27201",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","Korea",11046.53,11389.04,6990,233,30,48.88,4056.53,47.41
"27203",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","Singapore",14744.51,15201.68,9330,311,30,48.88,5414.51,47.41
"27204",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","Australia",9484.2,9678.24,5940,198,30,48.88,3544.2,47.9
"27205",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","Netherlands",13546.27,13881.92,8520,284,30,48.88,5026.27,47.73666667
"27209",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","France",87809.04,89792.56,55110,1837,30,48.88,32699.04,47.805
"27211",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","United Kingdom",31974.3,32798.48,20130,671,30,48.88,11844.3,47.729
"27213",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","Switzerland",2654.96,2737.28,1680,56,30,48.88,974.96,47.41
"27214",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","Austria",51492.5,52546,32250,1075,30,48.88,19242.5,47.9
"27216",2005,"Personal Accessories","Watches","Mountain Man Analog","Telephone","Spain",20836.5,21262.8,13050,435,30,48.88,7786.5,47.9
"27217",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","United States",57297.86,58998.16,36210,1207,30,48.88,21087.86,47.51571429
"27219",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","Mexico",182891.22,188139.12,115470,3849,30,48.88,67421.22,47.52809524
"27225",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","Australia",78745.88,80260.96,49260,1642,30,48.88,29485.88,47.96125
"27228",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","Finland",20954.97,21507.2,13200,440,30,48.88,7754.97,47.66
"27229",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","Denmark",8717.8,8896.16,5460,182,30,48.88,3257.8,47.9
"27230",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","France",27255.1,27812.72,17070,569,30,48.88,10185.1,47.9
"27231",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","Germany",49523.08,50395.28,30930,1031,30,48.88,18593.08,48.047
"27232",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","United Kingdom",4978.05,5132.4,3150,105,30,48.88,1828.05,47.41
"27233",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","Belgium",3305.1,3372.72,2070,69,30,48.88,1235.1,47.9
"27234",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","Switzerland",19146.64,19405.36,11910,397,30,48.88,7236.64,48.2675
"27236",2005,"Personal Accessories","Watches","Mountain Man Analog","Sales visit","Italy",104512.8,107096.08,65730,2191,30,48.88,38782.8,47.73833333
"27238",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","United States",422617.93,434201.04,266490,8883,30,48.88,156127.93,47.65149254
"27239",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Canada",236210.06,242835.84,149040,4968,30,48.88,87170.06,47.60833333
"27240",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Mexico",21999.34,22631.44,13890,463,30,48.88,8109.34,47.5325
"27241",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Brazil",132691.46,135544.24,83190,2773,30,48.88,49501.46,47.89172414
"27242",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Japan",291740.09,298803.44,183390,6113,30,48.88,108350.09,47.73954545
"27243",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Korea",211827.02,218346.96,134010,4467,30,48.88,77817.02,47.42041667
"27244",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","China",304229.97,313662.96,192510,6417,30,48.88,111719.97,47.41
"27245",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Singapore",193759.27,199577.04,122490,4083,30,48.88,71269.27,47.47322581
"27246",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Australia",15660.48,15934.88,9780,326,30,48.88,5880.48,48.096
"27247",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Netherlands",80137.22,82362.8,50550,1685,30,48.88,29587.22,47.58571429
"27248",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Sweden",19016.3,19405.36,11910,397,30,48.88,7106.3,47.9
"27249",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Finland",170744.95,175625.84,107790,3593,30,48.88,62954.95,47.53869565
"27250",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Denmark",84242.75,86028.8,52800,1760,30,48.88,31442.75,47.83875
"27251",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","France",96890.42,98688.72,60570,2019,30,48.88,36320.42,48.0225
"27252",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Germany",138328.58,141067.68,86580,2886,30,48.88,51748.58,47.935
"27253",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","United Kingdom",208217.22,214143.28,131430,4381,30,48.88,76787.22,47.59230769
"27254",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Belgium",107050.12,109051.28,66930,2231,30,48.88,40120.12,48.00208333
"27255",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Switzerland",57663.6,58118.32,35670,1189,30,48.88,21993.6,48.5125
"27256",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Austria",78778.6,80505.36,49410,1647,30,48.88,29368.6,47.851
"27257",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Italy",46458.24,47755.76,29310,977,30,48.88,17148.24,47.57333333
"27258",2005,"Personal Accessories","Watches","Mountain Man Analog","Web","Spain",125713.14,128652.16,78960,2632,30,48.88,46753.14,47.82608696
"27259",2005,"Personal Accessories","Watches","Mountain Man Analog","Special","United States",6021.07,6207.76,3810,127,30,48.88,2211.07,47.41
"27264",2005,"Personal Accessories","Watches","Mountain Man Analog","Special","Korea",6921.86,7136.48,4380,146,30,48.88,2541.86,47.41
"27280",2005,"Personal Accessories","Watches","Mountain Man Analog","Mail","United States",22576.1,23218,14250,475,30,48.88,8326.1,47.5325
"27284",2005,"Personal Accessories","Watches","Mountain Man Analog","Mail","Japan",4790,4888,3000,100,30,48.88,1790,47.9
"27288",2005,"Personal Accessories","Watches","Mountain Man Analog","Mail","Australia",2969.8,3030.56,1860,62,30,48.88,1109.8,47.9
"27289",2005,"Personal Accessories","Watches","Mountain Man Analog","Mail","Netherlands",84053.01,86273.2,52950,1765,30,48.88,31103.01,47.656
"27300",2005,"Personal Accessories","Watches","Mountain Man Analog","Mail","Spain",4406.8,4496.96,2760,92,30,48.88,1646.8,47.9
"27302",2005,"Personal Accessories","Watches","Mountain Man Analog","E-mail","Canada",32675.28,33482.8,20550,685,30,48.88,12125.28,47.71625
"27305",2005,"Personal Accessories","Watches","Mountain Man Analog","E-mail","Japan",19476.44,19991.92,12270,409,30,48.88,7206.44,47.655
"27315",2005,"Personal Accessories","Watches","Mountain Man Analog","E-mail","Germany",37418.85,38321.92,23520,784,30,48.88,13898.85,47.72181818
"27320",2005,"Personal Accessories","Watches","Mountain Man Analog","E-mail","Italy",13452.31,13833.04,8490,283,30,48.88,4962.31,47.57333333
"27329",2005,"Personal Accessories","Watches","Mountain Man Analog","Fax","Singapore",6589.99,6794.32,4170,139,30,48.88,2419.99,47.41
"27335",2005,"Personal Accessories","Watches","Mountain Man Analog","Fax","France",33765.95,34509.28,21180,706,30,48.88,12585.95,47.83875
"27341",2005,"Personal Accessories","Watches","Mountain Man Analog","Fax","Italy",5025.46,5181.28,3180,106,30,48.88,1845.46,47.41
"27342",2005,"Personal Accessories","Watches","Mountain Man Analog","Fax","Spain",2442.9,2492.88,1530,51,30,48.88,912.9,47.9
"27343",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","United States",57120.39,62415,30000,1500,20,41.61,27120.39,38.11944444
"27347",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","Japan",9280.65,11858.85,5700,285,20,41.61,3580.65,34.955
"27348",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","Korea",3466.3,3536.85,1700,85,20,41.61,1766.3,40.78
"27350",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","Singapore",4318.52,4452.27,2140,107,20,41.61,2178.52,40.36
"27351",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","Australia",17027.45,18391.62,8840,442,20,41.61,8187.45,38.865
"27352",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","Netherlands",11073.06,11858.85,5700,285,20,41.61,5373.06,38.616
"27353",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","Sweden",2079.78,2122.11,1020,51,20,41.61,1059.78,40.78
"27356",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","France",25877.04,28461.24,13680,684,20,41.61,12197.04,37.79666667
"27358",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","United Kingdom",10456.2,11442.75,5500,275,20,41.61,4956.2,37.76125
"27361",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","Austria",16108.9,17684.25,8500,425,20,41.61,7608.9,38.075
"27363",2005,"Personal Accessories","Watches","Mountain Man Digital","Telephone","Spain",499.32,499.32,240,12,20,41.61,259.32,41.61
"27364",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","United States",6600.1,6782.43,3260,163,20,41.61,3340.1,40.57
"27365",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Canada",2813.82,2871.09,1380,69,20,41.61,1433.82,40.78
"27366",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Mexico",17077.92,19972.8,9600,480,20,41.61,7477.92,38.616
"27368",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Japan",748.98,748.98,360,18,20,41.61,388.98,41.61
"27369",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Korea",6146.43,8779.71,4220,211,20,41.61,1926.43,29.13
"27372",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Australia",3233.43,4618.71,2220,111,20,41.61,1013.43,29.13
"27375",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Finland",3466.3,3536.85,1700,85,20,41.61,1766.3,40.78
"27376",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Denmark",2079.78,2122.11,1020,51,20,41.61,1059.78,40.78
"27377",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","France",11637.98,12358.17,5940,297,20,41.61,5697.98,39.115
"27378",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Germany",3499.71,4785.15,2300,115,20,41.61,1199.71,33.29
"27380",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Belgium",2155.56,2829.48,1360,68,20,41.61,795.56,35.37
"27381",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Switzerland",7332.12,9154.2,4400,220,20,41.61,2932.12,35.37
"27382",2005,"Personal Accessories","Watches","Mountain Man Digital","Sales visit","Austria",3058.65,4369.05,2100,105,20,41.61,958.65,29.13
"27385",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","United States",126450.71,142763.91,68620,3431,20,41.61,57830.71,38.38078947
"27386",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Canada",54687.9,59086.2,28400,1420,20,41.61,26287.9,39.26681818
"27387",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Mexico",31052.99,33953.76,16320,816,20,41.61,14732.99,38.14444444
"27388",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Brazil",32718.23,35951.04,17280,864,20,41.61,15438.23,38.56066667
"27389",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Japan",48056.79,52969.53,25460,1273,20,41.61,22596.79,38.595625
"27390",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Korea",52955.59,57713.07,27740,1387,20,41.61,25215.59,39.56333333
"27391",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","China",83213.13,93456.06,44920,2246,20,41.61,38293.13,38.845
"27392",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Singapore",48808.5,55050.03,26460,1323,20,41.61,22348.5,37.99384615
"27393",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Australia",6441.47,6532.77,3140,157,20,41.61,3301.47,41.05666667
"27394",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Netherlands",25412.11,28794.12,13840,692,20,41.61,11572.11,39.11571429
"27395",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Sweden",8559.66,10568.94,5080,254,20,41.61,3479.66,37.45
"27396",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Finland",48502.55,54301.05,26100,1305,20,41.61,22402.55,38.28285714
"27397",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Denmark",12432.9,13231.98,6360,318,20,41.61,6072.9,39.11285714
"27398",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","France",23116.32,25257.27,12140,607,20,41.61,10976.32,39.947
"27399",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Germany",31938.2,36783.24,17680,884,20,41.61,14258.2,38.18615385
"27400",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","United Kingdom",52828.83,59335.86,28520,1426,20,41.61,24308.83,38.63857143
"27401",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Belgium",28184.69,30916.23,14860,743,20,41.61,13324.69,39.24307692
"27402",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Switzerland",12540,13148.76,6320,316,20,41.61,6220,39.71444444
"27403",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Austria",11260.04,11401.14,5480,274,20,41.61,5780.04,41.195
"27404",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Italy",37424.49,39030.18,18760,938,20,41.61,18664.49,39.80916667
"27405",2005,"Personal Accessories","Watches","Mountain Man Digital","Web","Spain",34762.43,38738.91,18620,931,20,41.61,16142.43,38.66181818
"27406",2005,"Personal Accessories","Watches","Mountain Man Digital","Special","United States",4116.72,4244.22,2040,102,20,41.61,2076.72,40.36
"27408",2005,"Personal Accessories","Watches","Mountain Man Digital","Special","Mexico",3874.1,3952.95,1900,95,20,41.61,1974.1,40.78
"27423",2005,"Personal Accessories","Watches","Mountain Man Digital","Special","Switzerland",1997.28,1997.28,960,48,20,41.61,1037.28,41.61
"27427",2005,"Personal Accessories","Watches","Mountain Man Digital","Mail","United States",3425.52,3495.24,1680,84,20,41.61,1745.52,40.78
"27428",2005,"Personal Accessories","Watches","Mountain Man Digital","Mail","Canada",2773.04,2829.48,1360,68,20,41.61,1413.04,40.78
"27431",2005,"Personal Accessories","Watches","Mountain Man Digital","Mail","Japan",2946.21,3869.73,1860,93,20,41.61,1086.21,35.37
"27435",2005,"Personal Accessories","Watches","Mountain Man Digital","Mail","Australia",1914.06,1914.06,920,46,20,41.61,994.06,41.61
"27436",2005,"Personal Accessories","Watches","Mountain Man Digital","Mail","Netherlands",4835.41,5492.52,2640,132,20,41.61,2195.41,34.955
"27447",2005,"Personal Accessories","Watches","Mountain Man Digital","Mail","Spain",2650.7,2704.65,1300,65,20,41.61,1350.7,40.78
"27449",2005,"Personal Accessories","Watches","Mountain Man Digital","E-mail","Canada",7981.58,8197.17,3940,197,20,41.61,4041.58,40.5
"27452",2005,"Personal Accessories","Watches","Mountain Man Digital","E-mail","Japan",23134.01,24425.07,11740,587,20,41.61,11394.01,39.32375
"27458",2005,"Personal Accessories","Watches","Mountain Man Digital","E-mail","Sweden",3753.36,4327.44,2080,104,20,41.61,1673.36,37.45
"27462",2005,"Personal Accessories","Watches","Mountain Man Digital","E-mail","Germany",26649.5,27920.31,13420,671,20,41.61,13229.5,39.91642857
"27463",2005,"Personal Accessories","Watches","Mountain Man Digital","E-mail","United Kingdom",665.76,665.76,320,16,20,41.61,345.76,41.61
"27467",2005,"Personal Accessories","Watches","Mountain Man Digital","E-mail","Italy",7944.09,11026.65,5300,265,20,41.61,2644.09,33.29
"27473",2005,"Personal Accessories","Watches","Mountain Man Digital","Fax","Japan",3221.62,3287.19,1580,79,20,41.61,1641.62,40.78
"27476",2005,"Personal Accessories","Watches","Mountain Man Digital","Fax","Singapore",4641.4,4785.15,2300,115,20,41.61,2341.4,40.36
"27478",2005,"Personal Accessories","Watches","Mountain Man Digital","Fax","Netherlands",3466.3,3536.85,1700,85,20,41.61,1766.3,40.78
"27482",2005,"Personal Accessories","Watches","Mountain Man Digital","Fax","France",7206.66,9445.47,4540,227,20,41.61,2666.66,34.955
"27489",2005,"Personal Accessories","Watches","Mountain Man Digital","Fax","Spain",2242.9,2288.55,1100,55,20,41.61,1142.9,40.78
"27490",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","United States",52095.04,55290.9,26442,678,39,81.55,25653.04,77.00857143
"27494",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","Japan",13415.5,14271.25,6825,175,39,81.55,6590.5,76.66
"27495",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","Korea",27060.98,28787.15,13767,353,39,81.55,13293.98,76.66
"27497",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","Singapore",8662.58,9215.15,4407,113,39,81.55,4255.58,76.66
"27498",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","Australia",30141.65,31396.75,15015,385,39,81.55,15126.65,78.29
"27499",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","Netherlands",30096.06,31886.05,15249,391,39,81.55,14847.06,77.148
"27500",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","Sweden",4462.53,4648.35,2223,57,39,81.55,2239.53,78.29
"27503",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","France",53064.47,55780.2,26676,684,39,81.55,26388.47,77.69454545
"27505",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","United Kingdom",18226.97,19082.7,9126,234,39,81.55,9100.97,77.798
"27508",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","Austria",23720.19,24872.75,11895,305,39,81.55,11825.19,77.798
"27510",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Telephone","Spain",6746.08,7176.4,3432,88,39,81.55,3314.08,76.66
"27511",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Sales visit","United States",25067.82,26666.85,12753,327,39,81.55,12314.82,76.66
"27512",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Sales visit","Canada",16360.46,17288.6,8268,212,39,81.55,8092.46,77.2
"27513",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Sales visit","Mexico",46149.32,49093.1,23478,602,39,81.55,22671.32,76.66
"27519",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Sales visit","Australia",8533.61,8888.95,4251,109,39,81.55,4282.61,78.29
"27524",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Sales visit","France",12330.41,12803.35,6123,157,39,81.55,6207.41,78.56
"27525",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Sales visit","Germany",9423.07,9867.55,4719,121,39,81.55,4704.07,77.88
"27527",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Sales visit","Belgium",4227.66,4403.7,2106,54,39,81.55,2121.66,78.29
"27528",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Sales visit","Switzerland",9121.92,9378.25,4485,115,39,81.55,4636.92,79.37333333
"27532",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","United States",236610.21,250521.6,119808,3072,39,81.55,116802.21,77.28264706
"27533",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Canada",89319.61,94271.8,45084,1156,39,81.55,44235.61,77.27941176
"27534",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Mexico",47835.84,50887.2,24336,624,39,81.55,23499.84,76.66
"27535",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Brazil",58519.51,61570.25,29445,755,39,81.55,29074.51,77.60833333
"27536",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Japan",94558.52,100469.6,48048,1232,39,81.55,46510.52,76.768
"27537",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Korea",65007.68,69154.4,33072,848,39,81.55,31935.68,76.66
"27538",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","China",143660.84,152824.7,73086,1874,39,81.55,70574.84,76.66
"27539",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Singapore",83866.04,89215.7,42666,1094,39,81.55,41200.04,76.66
"27540",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Australia",12248.88,12721.8,6084,156,39,81.55,6164.88,78.56
"27541",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Netherlands",49292.38,52436.65,25077,643,39,81.55,24215.38,76.66
"27542",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Sweden",26255.42,27400.8,13104,336,39,81.55,13151.42,78.15333333
"27543",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Finland",90228.82,95984.35,45903,1177,39,81.55,44325.82,76.66
"27544",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Denmark",16119.74,17043.95,8151,209,39,81.55,7968.74,77.0675
"27545",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","France",40483.1,42650.65,20397,523,39,81.55,20086.1,77.4725
"27546",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Germany",76074.29,79592.8,38064,976,39,81.55,38010.29,78.00058824
"27547",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","United Kingdom",96361.75,101692.85,48633,1247,39,81.55,47728.75,77.60263158
"27548",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Belgium",48313.04,50397.9,24102,618,39,81.55,24211.04,78.21454545
"27549",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Switzerland",28773.5,29847.3,14274,366,39,81.55,14499.5,78.65111111
"27550",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Austria",34686.64,36452.85,17433,447,39,81.55,17253.64,77.70571429
"27551",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Italy",47299.22,50316.35,24063,617,39,81.55,23236.22,76.66
"27552",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Web","Spain",59275.77,62793.5,30030,770,39,81.55,29245.77,77.066
"27553",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Special","United States",17171.84,18267.2,8736,224,39,81.55,8435.84,76.66
"27557",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Special","Japan",6209.46,6605.55,3159,81,39,81.55,3050.46,76.66
"27558",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Special","Korea",16405.24,17451.7,8346,214,39,81.55,8059.24,76.66
"27572",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Special","Italy",7436.02,7910.35,3783,97,39,81.55,3653.02,76.66
"27574",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Mail","United States",7742.66,8236.55,3939,101,39,81.55,3803.66,76.66
"27575",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Mail","Canada",5749.5,6116.25,2925,75,39,81.55,2824.5,76.66
"27578",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Mail","Japan",5519.52,5871.6,2808,72,39,81.55,2711.52,76.66
"27596",2005,"Personal Accessories","Watches","Mountain Man Deluxe","E-mail","Canada",15738.27,16636.2,7956,204,39,81.55,7782.27,77.2
"27599",2005,"Personal Accessories","Watches","Mountain Man Deluxe","E-mail","Japan",30893.98,32864.65,15717,403,39,81.55,15176.98,76.66
"27605",2005,"Personal Accessories","Watches","Mountain Man Deluxe","E-mail","Sweden",4227.66,4403.7,2106,54,39,81.55,2121.66,78.29
"27609",2005,"Personal Accessories","Watches","Mountain Man Deluxe","E-mail","Germany",21617.67,22670.9,10842,278,39,81.55,10775.67,77.8
"27614",2005,"Personal Accessories","Watches","Mountain Man Deluxe","E-mail","Italy",24991.16,26585.3,12714,326,39,81.55,12277.16,76.66
"27616",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Fax","United States",7666,8155,3900,100,39,81.55,3766,76.66
"27623",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Fax","Singapore",8969.22,9541.35,4563,117,39,81.55,4406.22,76.66
"27629",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Fax","France",10706.77,11335.45,5421,139,39,81.55,5285.77,77.065
"27636",2005,"Personal Accessories","Watches","Mountain Man Deluxe","Fax","Spain",5267.96,5545.4,2652,68,39,81.55,2615.96,77.47
"27637",2005,"Personal Accessories","Watches","Mountain Man Combination","Telephone","United States",57106.77,59688.09,27405,609,45,98.01,29701.77,94.09
"27641",2005,"Personal Accessories","Watches","Mountain Man Combination","Telephone","Japan",8936.58,9212.94,4230,94,45,98.01,4706.58,95.07
"27643",2005,"Personal Accessories","Watches","Mountain Man Combination","Telephone","China",23585.28,25090.56,11520,256,45,98.01,12065.28,92.13
"27644",2005,"Personal Accessories","Watches","Mountain Man Combination","Telephone","Singapore",5712.06,6076.62,2790,62,45,98.01,2922.06,92.13
"27645",2005,"Personal Accessories","Watches","Mountain Man Combination","Telephone","Australia",17385.05,17739.81,8145,181,45,98.01,9240.05,96.05
"27646",2005,"Personal Accessories","Watches","Mountain Man Combination","Telephone","Netherlands",22859.94,23718.42,10890,242,45,98.01,11969.94,94.678
"27650",2005,"Personal Accessories","Watches","Mountain Man Combination","Telephone","France",36882.3,38419.92,17640,392,45,98.01,19242.3,94.17909091
